,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,shipment_mode,sub_classification,vendor,brand,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,freight_cost_(usd),line_item_insurance_(usd),days_to_process
20,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,20,7500,202500.0,27.0,1.09875,other,Yes,15893.71,116.41,-223.5
21,SCMS,ASN,1046,Direct Drop,CIP,Air,Pediatric,other,other,60,5513,140581.5,25.5,0.42,other,Yes,0.0,224.93,-223.5
22,SCMS,ASN,688,Direct Drop,EXW,Air,Pediatric,other,Generic,180,1000,1920.0,1.92,0.01,"Aurobindo Unit III, India",Yes,4193.49,3.07,-223.5
23,SCMS,ASN,688,Direct Drop,FCA,Air,Adult,other,other,120,500,41095.0,53.775000000000006,0.68,other,Yes,1767.38,65.75,-223.5
24,SCMS,ASN,639,Direct Drop,EXW,Air,HIV+,other,other,100,750,53992.5,53.775000000000006,0.72,other,Yes,3518.38,86.39,-223.5
25,SCMS,ASN,639,Direct Drop,EXW,Air,HIV+,other,other,100,25,8750.0,53.775000000000006,1.09875,other,Yes,3097.85,14.0,-223.5
26,SCMS,ASN,512,Direct Drop,EXW,Air,HIV+,other,other,25,10000,200000.0,20.0,0.8,other,Yes,17636.265,320.0,-223.5
27,SCMS,ASN,512,Direct Drop,EXW,Air,HIV+,other,other,25,10000,200000.0,20.0,0.8,other,Yes,17636.265,320.0,-223.5
28,SCMS,ASN,512,Direct Drop,EXW,Air,HIV+,other,other,25,10000,200000.0,20.0,0.8,other,Yes,17636.265,320.0,-223.5
29,SCMS,ASN,207,Direct Drop,EXW,Air,Adult,other,Generic,60,41900,99200.0,1.55,0.03,"Aurobindo Unit III, India",Yes,12237.61,158.72,-223.5
30,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,20,10000,270000.0,27.0,1.09875,other,Yes,17636.265,432.0,-223.5
31,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,other,180,40,317.6,7.94,0.04,other,Yes,0.0,0.51,-223.5
32,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,other,30,1000,17000.0,17.0,0.57,other,Yes,2282.57,27.2,-223.5
33,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,400,3352.0,8.38,0.14,other,Yes,2149.05,5.36,-223.5
34,SCMS,ASN,429,Direct Drop,EXW,Air,HIV+,other,Generic,100,1500,15.0,0.01,0.0,other,Yes,0.75,0.02,-223.5
35,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,Generic,100,650,6.5,0.01,0.0,other,Yes,0.0,0.01,-223.5
36,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,other,180,200,340.0,1.7,0.01,other,Yes,0.0,0.54,-223.5
37,SCMS,ASN,639,Direct Drop,EXW,Air,HIV+,other,other,100,2,278.0,53.775000000000006,1.09875,other,Yes,0.0,0.44,-223.5
38,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,40,476,36176.0,53.775000000000006,1.09875,other,Yes,5446.51,57.88,-223.5
39,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,25,659,13180.0,20.0,0.8,other,Yes,2656.12,25.83,-74.0
40,SCMS,ASN,237,Direct Drop,EXW,Air,HIV+,other,Generic,100,240,2.4,0.01,0.0,other,Yes,0.0,0.0,-223.5
41,SCMS,ASN,237,Direct Drop,EXW,Air,HIV+,other,Generic,100,213,2.13,0.01,0.0,other,Yes,360.0,0.0,-223.5
42,SCMS,ASN,207,Direct Drop,DDP,Air,HIV+,other,other,100,63,13399.25,53.775000000000006,1.09875,other,Yes,0.0,21.44,-223.5
43,SCMS,ASN,535,Direct Drop,EXW,Air,HIV+,other,other,100,1634,117631.66,53.775000000000006,0.72,other,Yes,4112.46,188.21,-196.0
44,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,20,1425,38475.0,27.0,1.09875,other,Yes,5468.88,61.56,-223.5
45,SCMS,ASN,94,Direct Drop,EXW,Air,HIV+,other,other,100,142,10222.58,53.775000000000006,0.72,other,Yes,1715.17,16.36,-223.5
46,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,8400,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,4051.34,154.29,-223.5
47,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,180,6,405.06,53.775000000000006,0.25,other,Yes,0.0,0.65,-223.5
48,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,180,600,870.0,1.45,0.01,other,No,0.0,1.39,-223.5
49,SCMS,ASN,688,Direct Drop,CIP,Air,Pediatric,other,other,60,400,2800.0,7.0,0.12,other,Yes,2211.05,4.48,-223.5
50,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,other,60,6,77.1,12.85,0.21,other,Yes,0.0,0.12,-223.5
51,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,5498,407198.31250000006,53.775000000000006,0.8,other,Yes,16090.22,619.2275,-223.5
52,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,Generic,100,5498,54.98,0.01,0.0,other,Yes,0.0,0.09,-223.5
53,SCMS,ASN,207,Direct Drop,DDP,Air,HIV+,other,other,20,15,691.42,46.09,1.09875,other,Yes,0.0,1.11,-223.5
54,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,1344,18359.04,13.66,0.46,Mylan (formerly Matrix) Nashik,Yes,13507.92,29.37,-223.5
55,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,60,20,103.4,5.17,0.09,other,Yes,0.0,0.2,-223.5
56,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,30,100,1906.0,19.06,0.64,other,Yes,0.0,3.05,-223.5
57,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,180,670,1025.1,1.53,0.01,other,No,0.0,1.64,-223.5
58,SCMS,ASN,512,Direct Drop,CIP,Air,Adult,other,other,30,2597,61470.99,23.67,0.79,other,Yes,645.1,98.35,-223.5
59,SCMS,ASN,639,Direct Drop,EXW,Air,HIV+,other,other,100,28,9800.0,53.775000000000006,1.09875,other,Yes,782.13,15.68,-223.5
60,SCMS,ASN,639,Direct Drop,EXW,Air,HIV+,other,other,100,84,11676.0,53.775000000000006,1.09875,other,Yes,871.57,22.88,-189.0
61,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,60,30,1049.4,34.98,0.58,other,Yes,0.0,1.68,-223.5
62,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,38640,92736.0,2.4,0.04,"Aurobindo Unit III, India",Yes,17636.265,148.38,-223.5
63,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,180,34,1547.68,45.52,0.08,other,Yes,1755.87,2.48,-223.5
64,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,41900,60900.0,1.45,0.02,"Aurobindo Unit III, India",Yes,10179.16,97.44,-223.5
65,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,180,50,696.5,13.93,0.06,other,Yes,0.0,1.11,-223.5
66,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,16800,171192.0,10.19,0.34,Mylan (formerly Matrix) Nashik,Yes,4686.88,335.54,-186.0
67,SCMS,ASN,237,Direct Drop,CIP,Air,HIV+,other,other,25,98,3675.0,37.5,1.09875,other,Yes,180.0,5.88,-223.5
68,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,100,4500,323955.0,53.775000000000006,0.72,other,Yes,11062.05,619.2275,-223.5
69,SCMS,ASN,94,Direct Drop,EXW,Air,HIV+,other,other,20,10,320.0,32.0,1.09875,other,Yes,0.0,0.51,-223.5
70,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,40,500,38000.0,53.775000000000006,1.09875,other,Yes,11298.13,60.8,-223.5
71,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,Generic,12,25000,9750.0,0.39,0.03,other,Yes,12830.91,19.11,-129.0
72,SCMS,ASN,1161,Direct Drop,CIP,Air,Adult,other,other,30,9,453.6,50.4,1.09875,other,Yes,0.0,0.89,-54.0
73,SCMS,ASN,94,Direct Drop,EXW,Air,HIV+,other,other,100,150,10798.5,53.775000000000006,0.72,other,Yes,2698.04,21.17,-215.0
74,SCMS,ASN,70,Direct Drop,EXW,Air,HIV+,other,other,2,15,450.0,30.0,1.09875,other,Yes,578.01,0.88,-185.0
75,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,25,319,6380.0,20.0,0.8,other,Yes,1122.24,12.5,-129.0
76,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,30,80,1830.4,22.88,0.76,other,Yes,0.0,3.59,-223.5
77,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,30,120,2745.6,22.88,0.76,other,Yes,0.0,5.38,-15.0
78,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,180,600,858.0,1.43,0.01,other,No,0.0,1.68,-223.5
79,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,60,7,91.35,13.05,0.22,other,No,0.0,0.18,-223.5
80,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,180,40,1375.6,34.39,0.11,other,No,0.0,2.7,-223.5
81,SCMS,ASN,237,Direct Drop,CIP,Air,HIV+,other,other,25,108,4050.0,37.5,1.09875,other,Yes,0.0,7.94,-115.0
82,SCMS,ASN,512,Direct Drop,CIP,Air,Adult,other,other,30,41900,407198.31250000006,50.4,1.09875,other,Yes,9339.0,619.2275,-41.0
83,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,Generic,100,140,2731.4,19.51,0.2,other,Yes,17636.265,5.35,-91.0
84,SCMS,ASN,608,Direct Drop,EXW,Air,HIV+,other,other,20,5700,182400.0,32.0,1.09875,other,Yes,17636.265,357.5,-70.0
85,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,5964,51350.04,8.61,0.14,"Aurobindo Unit III, India",Yes,12835.2,100.65,-52.0
86,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,21000,50400.0,2.4,0.04,"Aurobindo Unit III, India",No,3526.69,98.78,-52.0
87,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,10560,72864.0,6.9,0.12,"Cipla, Goa, India",Yes,4225.93,142.81,-70.0
88,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,2352,20250.72,8.61,0.14,"Aurobindo Unit III, India",Yes,892.5,39.69,-77.0
89,SCMS,ASN,512,Direct Drop,FCA,Air,Pediatric,other,other,180,524,21536.4,41.1,0.14,other,Yes,6668.61,42.21,-4.0
90,SCMS,ASN,512,Direct Drop,FCA,Air,Pediatric,other,Generic,60,2094,21526.32,10.28,0.17,other,Yes,0.0,42.19,-28.0
91,SCMS,ASN,429,Direct Drop,EXW,Air,HIV+,other,other,30,8249,185602.5,22.5,0.75,other,Yes,12595.81,363.78,-34.0
92,SCMS,ASN,1161,Direct Drop,CIP,Air,Adult,other,other,30,200,4734.0,23.67,0.79,other,Yes,463.0,9.28,121.0
93,SCMS,ASN,639,Direct Drop,CIP,Air,Pediatric,other,other,60,80,760.0,9.5,0.16,other,Yes,260.0,1.49,-62.0
94,SCMS,ASN,639,Direct Drop,CIP,Air,Pediatric,other,other,180,32,402.88,12.59,0.06,other,No,3526.69,0.79,-62.0
95,SCMS,ASN,639,Direct Drop,FCA,Air,Pediatric,other,Generic,60,46,472.88,10.28,0.17,other,Yes,893.22,0.93,-47.0
96,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,Generic,30,3025,47522.75,15.71,0.52,"Aurobindo Unit III, India",Yes,0.0,93.14,-181.0
97,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,Generic,30,3500,49840.0,14.24,0.47,"Cipla, Goa, India",Yes,0.0,97.69,-180.0
98,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,Generic,180,1008,3588.48,3.56,0.01,"Aurobindo Unit III, India",No,0.0,7.03,-180.0
99,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,other,180,960,1152.0,1.2,0.01,other,Yes,0.0,2.26,-160.0
100,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,other,180,1800,10512.0,5.84,0.02,other,Yes,0.0,20.6,-153.0
101,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,Generic,60,1200,3384.0,2.82,0.05,"Aurobindo Unit III, India",Yes,0.0,6.63,-192.0
102,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,Generic,180,346,1954.9,5.65,0.02,"Aurobindo Unit III, India",Yes,0.0,3.83,-41.0
103,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,Generic,30,5300,16642.0,3.14,0.1,"Aurobindo Unit III, India",Yes,0.0,32.62,4.0
104,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,Generic,180,342,1932.3,5.65,0.02,"Aurobindo Unit III, India",Yes,0.0,3.79,16.0
105,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,60,2700,10665.0,3.95,0.07,other,Yes,0.0,20.9,79.0
106,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,other,120,3735,134385.3,35.98,0.3,other,Yes,0.0,263.4,-48.0
107,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,other,60,6000,80640.0,13.44,0.22,other,Yes,0.0,158.05,-33.0
108,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,Generic,60,11672,35016.0,3.0,0.05,"Aurobindo Unit III, India",Yes,0.0,68.63,-42.0
109,SCMS,ASN,70,Direct Drop,EXW,Air,HIV+,other,other,100,20,7000.0,53.775000000000006,1.09875,other,Yes,1172.11,13.72,165.0
110,SCMS,ASN,1046,Direct Drop,FCA,Air,Adult,other,other,120,10240,407198.31250000006,41.1,0.34,other,Yes,14806.48,619.2275,29.0
111,SCMS,ASN,1046,Direct Drop,FCA,Air,Adult,other,other,180,400,15344.0,38.36,0.11,other,Yes,7642.97,30.07,51.0
112,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,180,30,1080.0,36.0,0.12,other,Yes,0.0,2.12,-41.0
113,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,30,80,2816.0,35.2,1.09875,other,Yes,0.0,5.52,-45.0
114,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,1000,19770.0,19.77,0.33,"Aurobindo Unit III, India",Yes,3134.85,38.75,-39.0
115,SCMS,ASN,639,Direct Drop,EXW,Air,HIV+,other,other,100,60,21000.0,53.775000000000006,1.09875,other,Yes,3128.19,41.16,107.0
116,SCMS,ASN,111,Direct Drop,EXW,Air,HIV+,other,other,100,7500,407198.31250000006,53.775000000000006,0.8,other,Yes,16835.31,619.2275,39.0
117,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,6395,407198.31250000006,53.775000000000006,0.8,other,Yes,17636.265,619.2275,78.0
118,SCMS,ASN,429,Direct Drop,CIP,Air,Adult,other,Generic,30,41900,386384.88,6.98,0.23,Hetero Unit III Hyderabad IN,Yes,17636.265,619.2275,54.0
119,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,40,1000,110000.0,53.775000000000006,1.09875,other,Yes,8074.03,215.6,106.0
120,SCMS,ASN,688,Direct Drop,FCA,Air,Adult,other,other,180,8,613.76,53.775000000000006,0.23,other,Yes,3366.04,1.2,46.0
121,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,3500,39025.0,11.15,0.19,"Aurobindo Unit III, India",Yes,6341.88,76.49,39.0
122,SCMS,ASN,70,Direct Drop,EXW,Air,HIV+,other,other,100,5,1750.0,53.775000000000006,1.09875,other,Yes,684.42,3.43,39.0
123,SCMS,ASN,94,Direct Drop,EXW,Air,HIV+,other,other,25,67,5025.0,53.775000000000006,1.09875,other,Yes,401.97,9.85,92.0
124,SCMS,ASN,688,Direct Drop,CIP,Air,Pediatric,other,other,60,400,2800.0,7.0,0.12,other,Yes,14.36,5.49,57.0
125,SCMS,ASN,94,Direct Drop,EXW,Air,HIV+,other,other,20,220,7040.0,32.0,1.09875,other,Yes,1736.18,13.8,28.0
126,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,84,50,490.0,9.8,0.12,other,Yes,0.0,0.96,57.0
127,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,5000,41300.0,8.26,0.14,"Aurobindo Unit III, India",Yes,0.0,80.95,65.0
128,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,180,460,2838.2,6.17,0.03,other,Yes,0.0,5.56,57.0
129,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,40,147,11076.45,53.775000000000006,1.09875,other,Yes,1816.57,171.47,-223.5
130,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,100,6,2400.0,53.775000000000006,1.09875,other,Yes,1039.5,410.58,-223.5
131,SCMS,ASN,688,Direct Drop,CIP,Air,Pediatric,other,other,60,2800,19600.0,7.0,0.12,other,Yes,3292.15,53.8,-223.5
132,SCMS,ASN,639,Direct Drop,EXW,Air,HIV+,other,other,100,15,6000.0,53.775000000000006,1.09875,other,Yes,1195.29,2.83,-223.5
133,SCMS,ASN,535,Direct Drop,CIP,Air,Adult,other,other,180,260,11096.8,42.68,0.24,other,Yes,0.0,315.4,-223.5
134,SCMS,ASN,1161,Direct Drop,EXW,Air,Adult,other,Generic,60,894,2994.9,3.35,0.06,"Aurobindo Unit III, India",Yes,4861.14,5.06,-223.5
135,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,25100,276100.0,11.0,0.18,"Cipla, Goa, India",Yes,17636.265,0.13,-223.5
136,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,41900,144205.0,1.51,0.03,"Strides, Bangalore, India.",Yes,17636.265,619.2275,-223.5
137,SCMS,ASN,237,Direct Drop,EXW,Air,HIV+,other,other,20,900,36000.0,40.0,1.09875,other,Yes,4989.87,268.15,-223.5
138,SCMS,ASN,608,Direct Drop,CIP,Air,Adult,other,other,120,80,3288.0,41.1,0.34,other,Yes,0.0,619.2275,-223.5
139,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,41900,407198.31250000006,7.5,0.12,"Cipla, Goa, India",Yes,17636.265,480.4,-223.5
140,SCMS,ASN,429,Direct Drop,EXW,Air,Adult,other,Generic,30,41900,407198.31250000006,15.2,0.51,"Cipla, Goa, India",No,3526.69,86.34,-223.5
141,SCMS,ASN,429,Direct Drop,EXW,Air,Adult,other,Generic,60,5605,202340.5,36.1,0.6,other,No,3526.69,619.2275,-223.5
142,SCMS,ASN,207,Direct Drop,FCA,Air,HIV+,other,other,100,200,16000.0,53.775000000000006,0.8,other,Yes,0.0,4.0,-223.5
143,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,25000,187500.0,7.5,0.12,"Cipla, Goa, India",Yes,17636.265,300.0,-223.5
144,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,40,375,28500.0,53.775000000000006,1.09875,other,Yes,4445.75,27.24,-223.5
145,SCMS,ASN,207,Direct Drop,EXW,Air,HIV+,other,other,100,4650,372000.0,53.775000000000006,0.8,other,Yes,17636.265,217.22,-223.5
146,SCMS,ASN,1046,Direct Drop,CIP,Air,Pediatric,other,other,60,1577,14981.5,9.5,0.16,other,Yes,0.0,23.97,-223.5
147,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,3500,280000.0,53.775000000000006,0.8,other,Yes,5858.57,448.0,-223.5
148,SCMS,ASN,1046,Direct Drop,CIP,Air,Pediatric,other,other,60,4270,40565.0,9.5,0.16,other,No,0.0,64.9,-223.5
149,SCMS,ASN,688,Direct Drop,EXW,Air,Pediatric,other,Generic,180,1000,1920.0,1.92,0.01,"Aurobindo Unit III, India",Yes,13762.41,3.07,-223.5
150,SCMS,ASN,688,Direct Drop,EXW,Air,Pediatric,other,Generic,180,1000,2100.0,2.1,0.01,"Aurobindo Unit III, India",No,3526.69,3.36,-223.5
151,SCMS,ASN,688,Direct Drop,EXW,Air,Pediatric,other,Generic,180,1000,2100.0,2.1,0.01,"Aurobindo Unit III, India",No,3526.69,3.36,-223.5
152,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,3000,40500.0,13.5,0.22,"Aurobindo Unit III, India",Yes,4454.62,64.8,-223.5
153,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,22500,277425.0,12.33,0.41,"Aurobindo Unit III, India",Yes,16095.39,443.88,-223.5
154,SCMS,ASN,688,Direct Drop,FCA,Air,Adult,other,other,120,500,41095.0,53.775000000000006,0.68,other,Yes,1767.38,65.75,-223.5
155,SCMS,ASN,512,Direct Drop,EXW,Air,HIV+,other,other,25,10000,200000.0,20.0,0.8,other,Yes,17636.265,320.0,-223.5
156,SCMS,ASN,429,Direct Drop,EXW,Air,Adult,other,other,30,1609,27353.0,17.0,0.57,other,Yes,7922.24,43.76,-223.5
157,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,other,180,30,1447.8,48.26,0.16,other,No,0.0,2.32,-223.5
158,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,other,30,100,2850.0,28.5,0.95,other,No,0.0,4.56,-223.5
159,SCMS,ASN,688,Direct Drop,FCA,Air,Adult,other,other,180,100,18333.0,53.775000000000006,0.55,other,Yes,2535.4,29.33,-223.5
160,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,20,10000,270000.0,27.0,1.09875,other,Yes,17636.265,432.0,-223.5
161,SCMS,ASN,429,Direct Drop,CIP,Air,Adult,other,Generic,60,1099,30222.5,27.5,0.46,Mylan (formerly Matrix) Nashik,Yes,1511.25,48.36,-223.5
162,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,1200,2100.0,1.75,0.03,"Aurobindo Unit III, India",Yes,2429.85,3.36,-223.5
163,SCMS,ASN,6,Direct Drop,DDP,Air,HIV+,other,other,100,50,17500.0,53.775000000000006,1.09875,other,Yes,0.0,28.0,-223.5
164,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,650,51993.5,53.775000000000006,0.8,other,Yes,2577.27,83.19,-223.5
165,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,other,60,100,573.0,5.73,0.1,other,No,0.0,0.92,-223.5
166,SCMS,ASN,70,Direct Drop,EXW,Air,HIV+,other,other,20,450,14400.0,32.0,1.09875,other,Yes,2496.62,23.04,-223.5
167,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,20,10270,277290.0,27.0,1.09875,other,Yes,17636.265,443.66,-223.5
168,SCMS,ASN,608,Direct Drop,EXW,Air,HIV+,other,other,20,9000,288000.0,32.0,1.09875,other,Yes,17636.265,460.8,-223.5
169,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,20,6040,193280.0,32.0,1.09875,other,Yes,17636.265,309.25,-223.5
170,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,Generic,100,4300,43.0,0.01,0.0,other,Yes,0.0,0.07,-223.5
171,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,20,289,7803.0,27.0,1.09875,other,Yes,1104.69,15.29,-89.0
172,SCMS,ASN,608,Direct Drop,EXW,Air,HIV+,other,other,100,3000,215970.0,53.775000000000006,0.72,other,Yes,5298.9,345.55,-223.5
173,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,Generic,100,70,0.7,0.01,0.0,other,Yes,0.0,0.0,-223.5
174,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,100,1116,78120.0,53.775000000000006,0.7,other,Yes,5175.72,124.99,-223.5
175,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,100,1116,78120.0,53.775000000000006,0.7,other,Yes,7118.12,153.12,-164.0
